arrival_hour,park_duration,energy_gap,demand_level_encoded,price_sensitive,action_index,action_value,price_sensitive_flag,delivered_energy,revenue,peak_penalty,discomfort_penalty,reward
8,8.063888888888888,5.1438280796441,2,Free Period,4,0.2,1,37.035562173437526,7.407112434687505,1,1,-0.5928875653124948
8,9.548055555555557,19.74992303264139,2,Free Period,1,-0.1,1,68.74600000000001,-6.874600000000001,1,0,-11.874600000000001
8,3.5316666666666667,9.12758778754917,2,Free Period,0,-0.2,1,25.428,-5.0856,1,0,-10.0856
8,3.5141666666666667,7.871010185804391,2,Free Period,3,0.1,1,25.302,2.5302000000000002,1,1,-5.469799999999999
9,6.126666666666667,6.5095924144562005,2,Free Period,3,0.1,1,44.112,4.4112,1,1,-3.5888
10,6.885833333333333,4.059716873769981,1,Free Period,3,0.1,1,29.22996149114386,2.922996149114386,1,1,-5.077003850885614
11,6.484444444444445,4.07529017494401,1,Free Period,4,0.2,1,29.342089259596875,5.868417851919375,1,1,-2.131582148080625
14,2.5816666666666666,11.46466313555688,2,Free Period,0,-0.2,1,18.588,-3.7176000000000005,0,0,-3.7176000000000005
6,9.383888888888889,0.0902936289014899,0,Free Period,4,0.2,1,0.6501141280907273,0.13002282561814546,0,1,-2.8699771743818547
7,5.145277777777777,3.18643302608705,1,Free Period,4,0.2,1,22.94231778782676,4.588463557565352,0,1,1.588463557565352
8,4.4625,2.6611278082694696,0,Free Period,0,-0.2,1,19.160120219540183,-3.832024043908037,1,0,-8.832024043908037
8,3.721388888888889,8.57742349959302,2,Free Period,0,-0.2,1,26.794,-5.3588000000000005,1,0,-10.3588
8,8.382777777777777,3.6882530264168105,0,Free Period,0,-0.2,1,26.555421790201038,-5.311084358040208,1,0,-10.311084358040208
8,6.054722222222222,6.401389275549398,2,Free Period,0,-0.2,1,43.594,-8.7188,1,0,-13.7188
9,7.669166666666666,5.513761002809609,1,Free Period,3,0.1,1,39.69907922022919,3.969907922022919,1,1,-4.030092077977081
9,7.113611111111111,4.70812742063894,1,Free Period,2,0.0,1,33.89851742860037,0.0,1,0,-5.0
12,3.832777777777778,2.0922873671576294,1,Free Period,2,0.0,1,15.064469043534933,0.0,0,0,0.0
13,1.6697222222222223,1.12811952804331,0,Free Period,0,-0.2,1,8.122460601911833,-1.6244921203823666,0,0,-1.6244921203823666
13,4.020555555555555,2.85540513727387,1,Free Period,2,0.0,1,20.558916988371863,0.0,0,0,0.0
6,9.501666666666669,2.99815771175098,0,Free Period,2,0.0,1,21.586735524607057,0.0,0,0,0.0
7,3.668888888888889,5.63967318055501,1,Free Period,0,-0.2,1,26.416,-5.283200000000001,0,0,-5.283200000000001
7,10.331944444444444,5.24565264657852,0,Free Period,2,0.0,1,37.768699055365346,0.0,0,0,0.0
7,3.1425,9.167534360097,2,Free Period,4,0.2,1,22.626,4.525200000000001,0,1,1.5252000000000008
7,9.046944444444444,4.10351558506175,1,Free Period,1,-0.1,1,29.5453122124446,-2.9545312212444603,0,0,-2.9545312212444603
8,7.9255555555555555,-1.3705577441819,1,Free Period,1,-0.1,1,0.0,-0.0,1,0,-5.0
